product_name,brands,categories,energy_100g,saturated_fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,fvl_percent,nutri_score_value,nutri_score_label,green_score_value,green_score_label,url
PREMIUM SOY SAUCE,LEE KUM KEE,"Condiments,Sauces,Soy sauces,fr:Sauces au soja salées,Asian-foods,Chinese-foods",420,0,13.3,17.2,6.67,0,17.5,24,E,78,A,https://world.openfoodfacts.org/product/0078895126396
Ketchup,Amora,"Condiments, Sauces, Tomato sauces, Ketchup, Groceries",414,0.1,21,2,1.2,0.5,23.91666667,16,D,82,A,https://world.openfoodfacts.org/product/8722700113348
Classic Houmous,"Meadow Fresh,Simply Sumptuous","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Condiments,Produits à tartiner,Pâtes à tartiner végétales,Produits à tartiner salés,Sauces,Trempettes,Houmous,Houmous classiques",1312,2.4,0.6,0.49,7.8,5.2,51,1,B,77,A,https://world.openfoodfacts.org/product/20843427
Mayonnaise Classique à l'huile de colza,Lesieur,"Condiments,Sauces,Mayonnaises,Groceries",2674,5.5,2,1.3,1,0,0,18,D,47,C,https://world.openfoodfacts.org/product/3011360030498
Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,"Maille,Unilever","Condiments,Sauces,Salad dressings,Vinaigrettes,fr:Vinaigrettes allégées en matières grasses,Groceries,fr:Vinaigrettes au sésame",1559,3.3,5.5,1.8,1.9,0.7,0,16,D,49,C,https://world.openfoodfacts.org/product/8711200584383
MAILLE Mayonnaise Fins Gourmets Bocal 320g,MailleUnilever,"Condiments,Sauces,Mayonnaises,groceries",2732,5.8,0.5,1.5,1.9,0.6,0.75,20,E,37,D,https://world.openfoodfacts.org/product/3250541920139
Prince Goût Chocolat,LU,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Sandwich biscuits",1960,5.5,31.5,0.5,6.5,4,0,20,E,44,D,https://world.openfoodfacts.org/product/7622210449283
Excellence Noir Prodigieux 90% Cacao,Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolats noirs extra fin",2477,30,7,0.03,10,0,0,19,E,29,E,https://world.openfoodfacts.org/product/3046920029759
Sésame,Gerblé,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits",1961,2,17,0.38,10,4.6,0,9,C,57,C,https://world.openfoodfacts.org/product/3175680011480
Chocolat noir - 85% cacao,J.D. Gross,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",2510,28,12,0,12,16,0,15,D,43,D,https://world.openfoodfacts.org/product/20995553
Organic 70% Dark Chocolate Bar,Green & Black's,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",2428,25,29,0.01,9.1,10,0,20,E,40,D,https://world.openfoodfacts.org/product/7622210578464
Biscuits croquants au coeur onctueux de Nutella®,Nutella,"Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas,en:Biscuits/Cookies (Shelf Stable),fr:Biscoitos recheados",2158,11.5,35.8,0.559,7.9,0,0,28,E,44,D,https://world.openfoodfacts.org/product/8000500310427
